time,p1_x,p1_y,p2_x,p2_y,p1_angle,p2_angle,distance
10/22/2020 8:02:59 AM,0.1630068,-0.1316245,-0.2217327,0.3982384,15.0960383602823,6.87547673630568,0.654812320941398
10/22/2020 8:02:59 AM,0.386637577297981,-0.0965080522018779,-0.315434134560004,0.508664727089861,26.7455945275636,17.4353146731133,0.926897395285416
10/22/2020 8:03:00 AM,0.634570594446412,0.053149357542389,-0.399517731040485,0.750066305874348,38.7654524789591,27.9805680915172,1.2470091811132
10/22/2020 8:03:00 AM,0.911458287881573,0.263550736953234,-0.616814328149268,0.974632232742344,41.0792015914948,32.7197299648668,1.68560199411469
10/22/2020 8:03:01 AM,1.20583064104944,0.466023456858267,-0.849446278609091,1.19846594269374,40.7449008576486,35.0571976781222,2.18188799243635
10/22/2020 8:03:01 AM,1.36727089629375,0.755655914156946,-0.890690670749625,1.48309758933462,46.7855645992466,41.1553620301991,2.37224826462794
10/22/2020 8:03:02 AM,1.57860443206205,1.01443374861767,-0.992581682247613,1.74478760150172,48.5827504745359,44.5077751505958,2.67290381137096
10/22/2020 8:03:02 AM,1.80134550871993,1.21268984191952,-1.15092358142187,1.99330362397704,48.7596804955227,45.1873628048492,3.05372733840873
10/22/2020 8:03:03 AM,1.91139348680162,1.46710306701607,-1.11792834241571,2.21348317352374,51.3494360053725,49.362613690386,3.11991570532972
10/22/2020 8:03:03 AM,2.01581242034393,1.68263570871038,-1.103752057199,2.42028345434505,53.1560950968087,52.1812779626819,3.20558991859339
10/22/2020 8:03:04 AM,2.21252104128759,1.83790249541563,-1.21335644766742,2.65512918530249,53.132712950927,52.0233763001404,3.52200170811885
10/22/2020 8:03:04 AM,2.30661966028821,1.99236085412551,-1.2009065888097,2.80074058893061,53.7974112031969,53.8128868459738,3.59947470942003
10/22/2020 8:03:05 AM,2.27168656026588,2.17900236216386,-1.0555682067267,2.87295069986171,55.5880064325137,58.0448569452302,3.39885106762101
10/22/2020 8:03:05 AM,2.26782793921388,2.33427802926048,-0.997469145017227,3.0468979249068,58.1384621113682,59.561778629164,3.34215382110985
10/22/2020 8:03:06 AM,2.34745958921642,2.50057384518751,-0.983522841429434,3.35703712568185,61.2285194297892,59.2512528618721,3.43932744938694
10/22/2020 8:03:06 AM,2.40220240569085,2.60659088988005,-0.7983519589009,3.51427308833852,63.1701303021303,61.3676864129382,3.32677549800189
10/22/2020 8:03:07 AM,2.39625153829072,2.65025864236548,-0.637929514046385,3.6594909178978,66.279656989933,61.7132473918527,3.19762481294126
10/22/2020 8:03:07 AM,2.38986312654318,2.66104474947124,-0.564139703416196,3.9094341497032,70.9826182547417,58.8794009395924,3.20696255263754
10/22/2020 8:03:08 AM,2.4139381655586,2.59987687801663,-0.638905248584874,3.94786167740881,70.9477404121701,56.9833119793119,3.3372018114989
10/22/2020 8:03:08 AM,2.39623077425024,2.41557334804878,-0.737031329904401,3.93034102354922,71.0316452991479,53.5777156854612,3.48020868973005
10/22/2020 8:03:09 AM,2.3909471602314,2.32368086238077,-0.695742553794184,3.97995617523257,72.3999797355222,51.8668319692062,3.50298462780436
10/22/2020 8:03:09 AM,2.37413020996183,2.31952226926695,-0.514516836064921,4.1270467734706,76.3690394413442,50.8580169029461,3.40755434143254
10/22/2020 8:03:10 AM,2.35245831859492,2.33611293644123,-0.3659487281516,4.11112176148047,77.943152022241,51.7703648070712,3.24659717254363
10/22/2020 8:03:10 AM,2.3428580959838,2.33285574274793,-0.215908717457829,4.00203547807227,77.9953525902857,53.7939817715817,3.05506932726373
10/22/2020 8:03:11 AM,2.3413675839757,2.32606573829903,-0.0331385055439825,4.02596482364038,80.4108794239531,53.9296790012637,2.92026301375585
10/22/2020 8:03:11 AM,2.33919447777494,2.33133956884176,0.124325728257871,4.09740942739825,83.4714468539226,53.1701582504057,2.83278066974643
10/22/2020 8:03:12 AM,2.34254180678968,2.37391177336877,0.174410036582128,4.12700124685125,84.33909385995,53.4619057213773,2.78821055069706
10/22/2020 8:03:12 AM,2.36577140789837,2.57235756590785,0.164990644423005,4.13364810794821,82.7484375629023,56.9328224773963,2.69834470102467
10/22/2020 8:03:13 AM,2.41446298178909,2.73683692128906,0.149257328047992,4.13013903048557,80.176159783311,60.4744893300136,2.65940734398326
10/22/2020 8:03:13 AM,2.43374967808156,2.77766969615877,0.143552146145816,4.13118618401101,79.3589446144865,61.4068683270786,2.6602653285288
10/22/2020 8:03:14 AM,2.43335516647895,2.78580425155412,0.135939505228655,4.12934502216219,79.1826309373277,61.5661958174565,2.66143204362694
10/22/2020 8:03:14 AM,2.42760481676526,2.77792067047922,0.219935619350963,4.15205674047665,80.749707001073,61.1324574797908,2.600394820807
10/22/2020 8:03:15 AM,2.43312609126637,2.76266580141398,0.18239322191584,4.08958719201451,79.1505965505506,62.0321562358285,2.61276076708299
10/22/2020 8:03:15 AM,2.41983294546951,2.75561093631582,-0.193538806045231,3.9241076795102,72.8025768869383,63.0859510747159,2.8627079051959
10/22/2020 8:03:16 AM,2.34314931012532,2.78124100208198,-0.436118706742777,3.69094237005433,68.0105651072611,65.1370775372302,2.92436100515595
10/22/2020 8:03:16 AM,2.12953401826682,2.87502316896521,-0.524062386889897,3.43458825670153,65.3801336023445,69.4169708785452,2.71195261184151
10/22/2020 8:03:17 AM,1.93712316905847,3.00217895491321,-0.761703806577247,3.16719087093692,60.6671394334519,72.9784499151799,2.70386685634645
10/22/2020 8:03:17 AM,1.76597367637449,3.2100293432073,-0.94509868861795,3.07782777686571,58.3912013720029,75.721752125397,2.71429376125151
