Team,Trial,Modality,Chart Type,Task Type,Task Number,Start Time,Time Separate,Gestures Rate Separate,Looks Rate Separate,Utterances Rate Separate,Time Mixed,Gestures Rate Mixed,Looks Rate Mixed,Utterances Rate Mixed,Time Same,Gestures Rate Same,Looks Rate Same,Utterances Rate Same
1,1,Hololens,ScatterPlot,Closed,T1,10/22/2020 7:43:53 AM,40.5,0.37037037037037035,0.024691358024691357,0.4444444444444444,54,0.24074074074074073,0.05555555555555555,0.25925925925925924,27,0.3333333333333333,0.3333333333333333,0.25925925925925924
1,2,Hololens,Network,Open,T12,10/22/2020 7:49:29 AM,42.5,0.07058823529411765,0.047058823529411764,0.047058823529411764,44,0.1590909090909091,0,0.13636363636363635,34.5,0.057971014492753624,0.057971014492753624,0
1,3,Hololens,BarChart,Closed,T5,10/22/2020 7:53:55 AM,18,0.3333333333333333,0,0.2777777777777778,24,0.041666666666666664,0.041666666666666664,0.4583333333333333,0,NaN,NaN,NaN
1,4,Hololens,ScatterPlot,Open,T3,10/22/2020 7:55:56 AM,12.5,0,0,0.08,19,0.10526315789473684,0,0.21052631578947367,32,0.125,0.125,0.25
1,5,Hololens,Network,Closed,T10,10/22/2020 7:58:11 AM,22.5,0.35555555555555557,0.044444444444444446,0.26666666666666666,14,0.14285714285714285,0,0.14285714285714285,84.5,0.2485207100591716,0.08284023668639054,0.15384615384615385
1,6,Hololens,BarChart,Closed,T6,10/22/2020 8:01:11 AM,23,0.34782608695652173,0.08695652173913043,0.5217391304347826,3,1,0,1.6666666666666667,0,NaN,NaN,NaN
1,7,Hololens,ScatterPlot,Open,T4,10/22/2020 8:02:59 AM,11.5,0,0,0.08695652173913043,27,0.37037037037037035,0.14814814814814814,0.2222222222222222,82.5,0.10909090909090909,0.10909090909090909,0.2545454545454545
1,8,Hololens,Network,Open,T11,10/22/2020 8:05:59 AM,21.5,0.18604651162790697,0,0.27906976744186046,60.5,0.1652892561983471,0,0.23140495867768596,39,0.1794871794871795,0.05128205128205128,0.28205128205128205
1,9,Hololens,Network,Closed,T9,10/22/2020 8:09:42 AM,15.5,0.3225806451612903,0,0,57,0.21052631578947367,0.03508771929824561,0.017543859649122806,48.5,0.2268041237113402,0.020618556701030927,0.061855670103092786
1,10,Hololens,BarChart,Open,T7,10/22/2020 8:13:06 AM,10,0,0,0,18,0.1111111111111111,0,0.1111111111111111,48.5,0.08247422680412371,0,0.12371134020618557
